127.0.0.1 - - [20/Jun/2018:15:45:22 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:45:29 +0530] "GET /SchoolWebSite/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:45:29 +0530] "GET /SchoolWebSite/images/mainlogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:45:29 +0530] "GET /SchoolWebSite/images/FinalLogoVenus-01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:45:31 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:47:28 +0530] "GET /SchoolWebSite/header.html HTTP/1.1" 200 4176
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:47:28 +0530] "GET /SchoolWebSite/la.jpg HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:47:28 +0530] "GET /SchoolWebSite/chicago.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:47:28 +0530] "GET /SchoolWebSite/ny.jpg HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:50:16 +0530] "GET /SchoolWebSite/header.html HTTP/1.1" 200 4459
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:50:16 +0530] "GET /SchoolWebSite/chicago.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:50:16 +0530] "GET /SchoolWebSite/images/c1.jpg HTTP/1.1" 200 167115
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:50:16 +0530] "GET /SchoolWebSite/ny.jpg HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:50:40 +0530] "GET /SchoolWebSite/header.html HTTP/1.1" 200 4458
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:50:40 +0530] "GET /SchoolWebSite/chicago.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:50:40 +0530] "GET /SchoolWebSite/images/c1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:50:40 +0530] "GET /SchoolWebSite/ny.jpg HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:50:49 +0530] "GET /SchoolWebSite/header.html HTTP/1.1" 200 4458
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:50:49 +0530] "GET /SchoolWebSite/chicago.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:50:49 +0530] "GET /SchoolWebSite/images/c1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:50:49 +0530] "GET /SchoolWebSite/ny.jpg HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:51:03 +0530] "GET /SchoolWebSite/header.html HTTP/1.1" 200 4458
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:51:03 +0530] "GET /SchoolWebSite/images/c1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:51:03 +0530] "GET /SchoolWebSite/chicago.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:51:03 +0530] "GET /SchoolWebSite/ny.jpg HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:51:10 +0530] "GET /SchoolWebSite/header.html HTTP/1.1" 200 4459
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:51:10 +0530] "GET /SchoolWebSite/chicago.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:51:10 +0530] "GET /SchoolWebSite/ny.jpg HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:51:44 +0530] "GET /SchoolWebSite/header.html HTTP/1.1" 200 4462
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:51:44 +0530] "GET /SchoolWebSite/images/c2.jpg HTTP/1.1" 200 281109
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:51:44 +0530] "GET /SchoolWebSite/images/c1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:51:44 +0530] "GET /SchoolWebSite/ny.jpg HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:52:52 +0530] "GET /SchoolWebSite/header.html HTTP/1.1" 200 4469
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:52:52 +0530] "GET /SchoolWebSite/images/c1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:52:52 +0530] "GET /SchoolWebSite/images/c2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:52:52 +0530] "GET /SchoolWebSite/images/c3.jpg HTTP/1.1" 200 1290818
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:53:13 +0530] "GET /SchoolWebSite/header.html HTTP/1.1" 200 4469
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:53:13 +0530] "GET /SchoolWebSite/images/c2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:53:13 +0530] "GET /SchoolWebSite/images/c3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:53:13 +0530] "GET /SchoolWebSite/images/c1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:54:57 +0530] "GET /SchoolWebSite/header.html HTTP/1.1" 200 4699
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:54:57 +0530] "GET /SchoolWebSite/images/c3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:54:57 +0530] "GET /SchoolWebSite/images/c2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:54:57 +0530] "GET /SchoolWebSite/images/c1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:55:35 +0530] "GET /SchoolWebSite/header.html HTTP/1.1" 200 4695
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:55:36 +0530] "GET /SchoolWebSite/images/c3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:55:36 +0530] "GET /SchoolWebSite/images/c2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:55:36 +0530] "GET /SchoolWebSite/images/c1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:57:48 +0530] "GET /SchoolWebSite/header.html HTTP/1.1" 200 4642
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:57:48 +0530] "GET /SchoolWebSite/images/c2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2018:15:57:48 +0530] "GET /SchoolWebSite/images/c3.jpg HTTP/1.1" 304 -
